ContextTokens,GeneratedTokens,start_timestamp_ms
1163,429,113215
1143,580,113450
1012,389,113817
1121,433,113842
971,373,113940
1088,377,114087
1028,498,114522
127,202,114652
1139,371,114756
1100,414,114764
1019,403,114790
1022,443,115330
1176,373,115373
1007,403,115398
382,38,115925
396,107,116507
401,147,116533
882,135,116621
1161,429,117425
21,139,117532
1053,383,117668
402,102,117952
1037,434,117967
4077,81,118397
945,504,118552
1050,403,118946
1036,386,119311
4075,91,119342
1062,413,119409
4105,67,119459
1070,398,119574
206,181,119899
419,130,120123
181,132,120139
1127,415,120219
1043,394,120512
4082,104,120867
413,95,121076
934,378,121290
1039,379,121835
91,24,122817
1017,393,123022
1007,468,123031
375,66,123064
10,146,123279
994,414,123414
298,18,123533
1002,388,123665
1021,390,123777
209,217,124259
386,96,124406
1092,415,124442
403,142,124681
415,101,124687
1013,363,124722
1014,395,124834
1034,377,124934
1002,396,125103
1149,516,125449
1112,403,125714
1314,159,125783
1917,56,125892
1043,431,126224
1032,421,126237
1093,382,126372
1173,429,126396
203,189,127166
390,97,127344
4085,59,127874
4090,56,127890
409,93,127991
402,92,128097
1354,225,128288
181,213,128818
1035,414,128882
1033,420,129012
206,179,129101
888,426,129260
209,183,129334
1102,433,129505
1007,424,129677
203,167,129732
1173,421,129813
1080,371,129818
395,92,130097
1011,677,130106
91,24,130426
209,167,130483
1159,399,130809
463,739,130908
1094,398,131092
130,199,131094
203,162,131370
206,217,131726
1003,373,132126
376,88,132395
401,125,132782
1023,427,133081
197,217,133392
91,16,133436
77,187,134233
4083,67,134371
1056,396,134469
1033,397,134855
1118,378,134880
1269,152,134931
1035,401,135046
1256,414,135126
1211,450,135128
396,89,135152
4078,46,135400
91,16,135413
1066,421,135639
91,24,135729
414,79,135824
378,52,136119
385,112,136226
1314,285,137080
401,88,137506
404,98,138154
91,16,138160
194,188,138439
4086,64,138576
1111,389,138804
1125,395,139041
1013,421,139265
847,89,139363
375,101,140214
1046,393,140264
395,58,140344
402,86,140462
1207,386,140774
997,415,140865
191,162,141053
978,430,141228
200,217,141274
1160,421,141472
1216,466,141514
912,427,141515
181,104,141516
206,162,141676
1010,396,142264
975,68,142431
1033,396,142838
163,157,142993
382,62,143183
1082,426,143195
1311,415,143367
200,217,143403
4093,91,143406
91,16,143417
181,85,143495
1004,412,143564
1315,144,144042
203,161,144299
960,403,144636
1032,387,145386
1144,396,145448
414,130,145459
399,86,145459
1113,98,145789
181,107,145845
161,193,146054
1001,398,146252
371,54,146419
1176,385,146551
1061,429,146729
886,95,146956
4101,58,147040
1137,428,147171
1245,389,147225
401,103,147255
405,83,147396
1319,169,147608
1052,429,147995
91,24,148189
1062,393,148257
2042,52,148259
4080,74,148277
328,18,148930
8,122,148979
1313,156,149146
2278,45,149212
1129,414,149262
405,110,149272
393,105,149417
167,187,149728
1040,456,149746
1113,399,149977
1042,411,150011
1180,414,150032
1069,426,150063
209,217,150187
1065,426,150892
128,173,150896
4082,50,150906
1037,415,150907
966,403,151155
380,99,151170
1087,396,151325
218,179,151380
387,75,151419
1000,498,151516
383,114,152421
1093,429,152463
1262,390,152861
1473,450,153013
1127,563,153724
1076,464,154558
1067,393,154662
402,73,154669
209,179,154778
1047,401,155002
200,193,155337
942,404,155597
1072,446,155771
1232,419,155855
373,91,155983
999,395,156139
1146,426,156264
1049,667,156737
1130,375,157085
1009,419,157085
1317,320,157325
921,114,157345
4084,34,157470
1157,429,157521
1093,425,157601
1035,405,157637
1009,395,157639
4091,40,157668
482,73,157721
4076,38,158000
401,104,158000
1046,429,158065
1230,389,158425
161,159,158443
26,238,159053
1108,399,159073
378,124,159211
1051,410,159214
2,93,159466
1001,373,159633
1059,429,159691
996,385,159847
1096,396,159859
417,98,159946
1139,396,160264
310,18,160398
1027,482,160705
1007,388,160799
161,150,160844
4099,55,161053
1025,394,161220
1044,413,161279
404,108,161401
1036,425,161438
1098,396,161503
405,105,161676
4074,50,161702
1269,451,161715
788,51,161816
