name,num_gpu,gpu_spec,creation_time
openb-pod-0184,1,,10065461
openb-pod-0185,1,,10066995
openb-pod-0186,1,,10068089
openb-pod-0187,1,,10071515
openb-pod-0188,1,T4,10072956
openb-pod-0189,1,,10072977
openb-pod-0190,1,G2,10073827
openb-pod-0191,1,,10075751
openb-pod-0192,1,T4,10076540
openb-pod-0193,1,,10076597
openb-pod-0194,1,,10077065
openb-pod-0195,1,T4,10077174
openb-pod-0196,0,,10078477
openb-pod-0197,1,,10079174
openb-pod-0198,1,,10079912
openb-pod-0199,1,T4,10081543
openb-pod-0200,1,T4,10082034
openb-pod-0201,1,P100|T4|V100M16|V100M32,10082398
openb-pod-0202,1,,10084139
openb-pod-0203,0,,10084399
openb-pod-0204,1,,10086450
openb-pod-0205,1,V100M16|V100M32,10087455
openb-pod-0206,1,,10087711
openb-pod-0207,1,G2,10087754
openb-pod-0208,1,,10087849
openb-pod-0209,1,,10088207
openb-pod-0210,0,,10088756
openb-pod-0211,1,T4,10088963
openb-pod-0212,1,G3,10089624
openb-pod-0213,1,,10089802
openb-pod-0214,1,T4,10090200
openb-pod-0215,1,,10090303
openb-pod-0216,1,,10090557
openb-pod-0217,1,,10090598
openb-pod-0218,1,,10090801
openb-pod-0219,1,,10091052
openb-pod-0220,1,,10091074
openb-pod-0221,1,T4,10091866
openb-pod-0222,1,,10091963
openb-pod-0223,1,,10092457
openb-pod-0224,1,,10093366
openb-pod-0225,1,,10093458
openb-pod-0226,1,,10094677
openb-pod-0227,1,,10095374
openb-pod-0228,1,,10096044
openb-pod-0229,1,,10096319
openb-pod-0230,1,P100,10096985
openb-pod-0231,1,T4,10097319
openb-pod-0232,1,,10098174
openb-pod-0233,1,,10099853
openb-pod-0234,1,,10100497
openb-pod-0235,1,,10101508
openb-pod-0236,1,V100M32,10101656
openb-pod-0237,1,,10101831
openb-pod-0238,1,,10102468
openb-pod-0239,1,P100|V100M16|V100M32,10102699
openb-pod-0240,1,,10103062
openb-pod-0241,1,,10103067
openb-pod-0242,1,,10103070
openb-pod-0243,1,,10103080
openb-pod-0244,1,T4,10103554
openb-pod-0245,1,,10103654
openb-pod-0246,1,,10103657
openb-pod-0247,1,,10103830
openb-pod-0248,0,,10104296
openb-pod-0249,1,,10104920
openb-pod-0250,1,,10105081
openb-pod-0251,1,,10105616
openb-pod-0252,1,,10106099
openb-pod-0253,1,T4,10106214
openb-pod-0254,1,T4,10106404
openb-pod-0255,0,,10106593
openb-pod-0256,1,,10106755
openb-pod-0257,1,T4,10107108
openb-pod-0258,1,,10107156
openb-pod-0259,1,,10107360
openb-pod-0260,1,T4,10107678
openb-pod-0261,1,T4,10107700
openb-pod-0262,1,,10108119
openb-pod-0263,1,P100|V100M16|V100M32,10108195
openb-pod-0264,1,,10108262
openb-pod-0265,1,,10108896
openb-pod-0266,0,,10110007
openb-pod-0267,1,,10110007
openb-pod-0268,1,G2,10110042
openb-pod-0269,1,P100,10110426
openb-pod-0270,1,,10110515
openb-pod-0271,1,,10110888
openb-pod-0272,1,,10112199
openb-pod-0273,1,,10112326
openb-pod-0274,1,,10112685
openb-pod-0275,1,T4,10112996
openb-pod-0276,0,,10113134
openb-pod-0277,0,,10113347
openb-pod-0278,1,,10113572
openb-pod-0279,1,,10114193
openb-pod-0280,1,,10114274
openb-pod-0281,0,,10114302
openb-pod-0282,1,,10115077
openb-pod-0283,1,,10117363
openb-pod-0284,1,,10118303
openb-pod-0285,0,,10118657
openb-pod-0286,1,,10119177
openb-pod-0287,0,,10119674
openb-pod-0288,0,,10119716
openb-pod-0289,0,,10119805
openb-pod-0290,1,,10119881
openb-pod-0291,1,,10121149
openb-pod-0292,1,,10121200
openb-pod-0293,1,,10122873
openb-pod-0294,1,,10122912
openb-pod-0295,1,T4,10122958
openb-pod-0296,1,T4,10122966
openb-pod-0297,1,,10123048
openb-pod-0298,1,,10123058
openb-pod-0299,1,V100M16|V100M32,10123064
openb-pod-0300,1,,10123510
openb-pod-0301,1,T4,10123536
openb-pod-0302,1,,10123839
openb-pod-0303,1,T4,10125159
openb-pod-0304,1,,10125279
openb-pod-0305,1,,10126505
openb-pod-0306,1,T4,10127058
openb-pod-0307,1,T4,10127814
openb-pod-0308,1,,10128880
openb-pod-0309,1,,10129654
openb-pod-0310,1,,10130831
openb-pod-0311,1,T4,10131649
openb-pod-0312,1,P100|V100M16|V100M32,10131993
openb-pod-0313,1,P100|T4|V100M16|V100M32,10132682
openb-pod-0314,1,,10132818
openb-pod-0315,1,,10133439
openb-pod-0316,1,G2,10133558
openb-pod-0317,1,T4,10133995
openb-pod-0318,1,,10134129
openb-pod-0319,8,,10134157
openb-pod-0320,1,,10134400
openb-pod-0321,1,,10134541
openb-pod-0322,1,,10135536
openb-pod-0323,1,,10136146
openb-pod-0324,1,,10136410
openb-pod-0325,1,,10137304
openb-pod-0326,1,,10137416
openb-pod-0327,1,G2,10138838
openb-pod-0328,1,,10139183
openb-pod-0329,1,T4,10139527
openb-pod-0330,1,,10139540
openb-pod-0331,1,,10141076
openb-pod-0332,1,T4,10142678
openb-pod-0333,1,P100,10143373
openb-pod-0334,1,,10145120
openb-pod-0335,1,,10145223
openb-pod-0336,1,T4,10145321
openb-pod-0337,1,,10145662
openb-pod-0338,1,,10145872
openb-pod-0339,1,,10146322
openb-pod-0340,1,,10150141
openb-pod-0341,1,,10150356
openb-pod-0342,1,,10152278
openb-pod-0343,1,,10153572
openb-pod-0344,1,,10153654
openb-pod-0345,1,,10157405
openb-pod-0346,1,,10160855
openb-pod-0347,1,T4,10164141
openb-pod-0348,1,T4,10164277
openb-pod-0349,1,,10164565
openb-pod-0350,1,,10164623
openb-pod-0351,1,T4,10164722
openb-pod-0352,0,,10164859
openb-pod-0353,1,,10165064
openb-pod-0354,1,,10165173
openb-pod-0355,1,P100|V100M16|V100M32,10166412
openb-pod-0356,1,,10166484
openb-pod-0357,1,,10167716
openb-pod-0358,1,,10168027
openb-pod-0359,1,,10168347
openb-pod-0360,1,,10168366
openb-pod-0361,1,,10168713
openb-pod-0362,1,,10169200
openb-pod-0363,1,,10169375
openb-pod-0364,1,,10172374
openb-pod-0365,0,,10173573
openb-pod-0366,1,,10173649
openb-pod-0367,1,P100,10174699
openb-pod-0368,1,,10174703
openb-pod-0369,1,,10174773
openb-pod-0370,1,,10174834
openb-pod-0371,1,,10174996
openb-pod-0372,1,T4,10175575
openb-pod-0373,1,T4,10175763
openb-pod-0374,0,,10175948
openb-pod-0375,1,,10176577
openb-pod-0376,1,,10176964
openb-pod-0377,1,T4,10177954
openb-pod-0378,1,T4,10178628
openb-pod-0379,1,,10178651
openb-pod-0380,1,,10178696
openb-pod-0381,8,,10178857
openb-pod-0382,1,T4,10179719
openb-pod-0383,1,T4,10180259
openb-pod-0384,1,,10180270
openb-pod-0385,1,,10180422
openb-pod-0386,1,,10180454
openb-pod-0387,1,,10180841
openb-pod-0388,1,P100,10181257
openb-pod-0389,1,,10181304
openb-pod-0390,1,T4,10181710
openb-pod-0391,1,,10182641
openb-pod-0392,1,,10183836
openb-pod-0393,0,,10184106
openb-pod-0394,0,,10184155
openb-pod-0395,1,G3,10185253
openb-pod-0396,1,,10185984
openb-pod-0397,1,G2,10186713
openb-pod-0398,1,,10187075
openb-pod-0399,1,,10188200
openb-pod-0400,1,,10188246
openb-pod-0401,0,,10188685
openb-pod-0402,1,,10189447
openb-pod-0403,1,,10189534
openb-pod-0404,0,,10189758
openb-pod-0405,1,G3,10191093
openb-pod-0406,1,T4,10191770
openb-pod-0407,1,,10192225
openb-pod-0408,1,,10192232
openb-pod-0409,1,T4,10192336
