instance_sn,role,app_name,creation_time,gpu_request
instance_7433,CN,app_13,40538.0,0
instance_7434,CN,app_16,40805.0,0
instance_7435,CN,app_0,41892.0,0
instance_7436,CN,app_0,41196.0,0
instance_7437,CN,app_87,42253.0,0
instance_7438,CN,app_35,42253.0,0
instance_7439,HN,app_62,42879.0,1
instance_7440,CN,app_14,43003.0,0
instance_7441,CN,app_0,43162.0,0
instance_7442,CN,app_35,43963.0,0
instance_7443,HN,app_0,44362.0,1
instance_7444,CN,app_88,44806.0,0
instance_7445,CN,app_18,44805.0,0
instance_7446,CN,app_54,44805.0,0
instance_7447,CN,app_82,44805.0,0
instance_7448,CN,app_82,44805.0,0
instance_7449,CN,app_2,44805.0,0
instance_7450,CN,app_20,44806.0,0
instance_7451,CN,app_18,44805.0,0
instance_7452,CN,app_2,44806.0,0
instance_7453,CN,app_22,44806.0,0
instance_7454,CN,app_16,44806.0,0
instance_7455,CN,app_11,44806.0,0
instance_7456,CN,app_0,44806.0,0
instance_7457,CN,app_73,44806.0,0
instance_7458,CN,app_0,44806.0,0
instance_7459,CN,app_0,44806.0,0
instance_7460,CN,app_0,44806.0,0
instance_7461,CN,app_0,44806.0,0
instance_7462,CN,app_2,44806.0,0
instance_7463,CN,app_34,44806.0,0
instance_7464,CN,app_13,44806.0,0
instance_7465,CN,app_0,44806.0,0
instance_7466,CN,app_0,44806.0,0
instance_7467,CN,app_50,44806.0,0
instance_7468,CN,app_89,44806.0,0
instance_7469,CN,app_87,45136.0,0
instance_7470,CN,app_2,45227.0,0
instance_7471,CN,app_34,45617.0,0
instance_7472,CN,app_35,46071.0,0
instance_7473,CN,app_87,46071.0,0
instance_7474,CN,app_0,46071.0,0
instance_7475,CN,app_87,46401.0,0
instance_7476,CN,app_87,47326.0,0
instance_7477,HN,app_62,48392.0,1
instance_7478,CN,app_0,48891.0,0
instance_7479,CN,app_82,49232.0,0
instance_7480,CN,app_87,49231.0,0
instance_7481,CN,app_87,49231.0,0
instance_7482,CN,app_2,49231.0,0
instance_7483,CN,app_0,49232.0,0
instance_7484,CN,app_87,49321.0,0
instance_7485,CN,app_87,49351.0,0
instance_7486,CN,app_87,49352.0,0
instance_7487,CN,app_87,49381.0,0
instance_7488,CN,app_87,49411.0,0
instance_7489,CN,app_87,49891.0,0
instance_7490,CN,app_87,50041.0,0
instance_7491,CN,app_0,50062.0,0
instance_7492,CN,app_87,50821.0,0
instance_7493,CN,app_87,51513.0,0
instance_7494,HN,app_26,52246.0,1
instance_7495,HN,app_19,52246.0,1
instance_7496,HN,app_24,52248.0,1
instance_7497,HN,app_62,53900.0,1
instance_7498,CN,app_82,54161.0,0
instance_7499,CN,app_87,55074.0,0
instance_7500,CN,app_87,55074.0,0
instance_7501,CN,app_87,55104.0,0
instance_7502,HN,app_0,55132.0,1
instance_7503,HN,app_28,55137.0,1
instance_7504,HN,app_93,55141.0,1
instance_7505,HN,app_42,55144.0,1
instance_7506,HN,app_82,55149.0,1
instance_7507,HN,app_20,55152.0,1
instance_7508,HN,app_0,55152.0,1
instance_7509,HN,app_22,55157.0,1
instance_7510,HN,app_39,55170.0,1
instance_7511,HN,app_39,55183.0,1
instance_7512,HN,app_68,55190.0,1
instance_7513,HN,app_50,55222.0,1
instance_7514,HN,app_50,55259.0,1
instance_7515,CN,app_87,55628.0,0
instance_7516,CN,app_94,57459.0,0
instance_7517,CN,app_87,57459.0,0
instance_7518,CN,app_87,58088.00000000001,0
instance_7519,CN,app_87,58298.00000000001,0
instance_7520,CN,app_87,58709.00000000001,0
instance_7521,CN,app_87,59228.00000000001,0
instance_7522,CN,app_87,59429.00000000001,0
instance_7523,CN,app_94,61851.00000000001,0
instance_7524,HN,app_0,62257.00000000001,1
instance_7525,HN,app_0,62257.00000000001,1
instance_7526,CN,app_87,63038.00000000001,0
instance_7527,CN,app_87,63038.00000000001,0
instance_7528,CN,app_42,63099.00000000001,0
instance_7529,CN,app_87,63620.00000000001,0
instance_7530,CN,app_26,64368.00000000001,0
instance_7531,CN,app_35,65109.0,0
instance_7532,CN,app_87,65544.0,0
instance_7533,CN,app_87,65544.0,0
instance_7534,CN,app_87,65544.0,0
instance_7535,CN,app_87,65544.0,0
instance_7536,CN,app_87,65544.0,0
instance_7537,HN,app_0,65692.0,1
instance_7538,CN,app_87,65992.0,0
instance_7539,CN,app_35,67223.0,0
instance_7540,CN,app_0,67222.0,0
instance_7541,CN,app_87,67224.0,0
instance_7542,CN,app_35,67408.0,0
instance_7543,CN,app_42,68874.0,0
instance_7544,CN,app_87,69118.0,0
instance_7545,CN,app_87,70229.0,0
instance_7546,CN,app_87,71058.0,0
instance_7547,CN,app_87,71399.0,0
instance_7548,HN,app_0,72506.0,1
instance_7549,HN,app_0,72506.0,1
instance_7550,CN,app_87,73019.0,0
instance_7551,CN,app_87,73592.0,0
instance_7552,CN,app_87,74242.0,0
instance_7553,CN,app_35,74271.0,0
instance_7554,CN,app_35,74301.0,0
instance_7555,CN,app_87,74550.0,0
instance_7556,CN,app_35,74871.0,0
instance_7557,CN,app_87,75599.0,0
instance_7558,HN,app_0,75899.0,1
instance_7559,CN,app_87,76500.0,0
instance_7560,CN,app_62,77975.0,0
instance_7561,CN,app_88,78097.0,0
instance_7562,CN,app_16,78097.0,0
instance_7563,CN,app_29,78097.0,0
instance_7564,CN,app_87,78637.0,0
instance_7565,CN,app_87,78787.0,0
instance_7566,CN,app_56,78951.0,0
instance_7567,HN,app_0,79283.0,1
instance_7568,HN,app_0,79283.0,1
instance_7569,CN,app_87,80198.0,0
instance_7570,CN,app_20,83507.0,0
instance_7571,CN,app_0,83507.0,0
instance_7572,CN,app_35,83537.0,0
instance_7573,CN,app_42,83567.0,0
instance_7574,CN,app_88,83684.0,0
instance_7575,CN,app_18,83685.0,0
instance_7576,CN,app_20,83714.0,0
instance_7577,CN,app_87,83864.0,0
instance_7578,CN,app_87,84164.0,0
instance_7579,CN,app_87,84164.0,0
instance_7580,CN,app_87,84255.0,0
instance_7581,CN,app_41,84497.0,0
instance_7582,CN,app_28,84497.0,0
instance_7583,CN,app_87,84525.0,0
instance_7584,CN,app_35,84827.0,0
instance_7585,CN,app_22,85490.0,0
instance_7586,CN,app_28,85817.0,0
instance_7587,CN,app_28,87101.0,0
instance_7588,CN,app_28,87100.0,0
instance_7589,CN,app_87,87521.0,0
instance_7590,HN,app_122,87736.0,1
instance_7591,CN,app_122,88820.0,0
instance_7592,CN,app_27,87754.0,0
instance_7593,CN,app_87,87850.0,0
instance_7594,CN,app_87,88424.0,0
instance_7595,CN,app_87,88510.0,0
instance_7596,CN,app_19,88654.0,0
instance_7597,CN,app_27,89015.0,0
instance_7598,CN,app_30,90275.0,0
instance_7599,CN,app_88,90277.0,0
instance_7600,CN,app_42,90278.0,0
instance_7601,CN,app_67,90278.0,0
instance_7602,CN,app_26,90879.0,0
instance_7603,CN,app_26,90755.0,0
instance_7604,CN,app_26,91151.0,0
instance_7605,CN,app_28,91151.0,0
instance_7606,CN,app_30,91151.0,0
instance_7607,CN,app_0,91152.0,0
instance_7608,CN,app_2,91152.0,0
instance_7609,HN,app_111,91413.0,1
instance_7610,HN,app_111,91413.0,1
instance_7611,CN,app_87,91722.0,0
instance_7612,CN,app_27,91986.0,0
instance_7613,CN,app_62,92187.0,0
instance_7614,HN,app_26,92485.0,1
instance_7615,HN,app_23,92486.0,1
instance_7616,HN,app_23,92486.0,1
instance_7617,HN,app_62,92486.0,1
instance_7618,HN,app_23,92486.0,1
instance_7619,CN,app_30,92975.0,0
instance_7620,HN,app_0,92997.0,1
instance_7621,HN,app_0,92997.0,1
instance_7622,CN,app_25,94345.0,0
instance_7623,CN,app_26,94792.0,0
instance_7624,CN,app_28,94792.0,0
instance_7625,CN,app_35,94896.0,0
instance_7626,CN,app_87,95122.0,0
instance_7627,CN,app_87,95452.0,0
instance_7628,CN,app_87,95452.0,0
instance_7629,CN,app_87,96022.0,0
instance_7630,HN,app_0,96391.0,1
instance_7631,CN,app_87,96982.0,0
instance_7632,HN,app_23,97982.0,1
instance_7633,HN,app_62,97984.0,1
instance_7634,CN,app_0,98278.0,0
instance_7635,CN,app_0,98278.0,0
instance_7636,CN,app_30,98277.0,0
instance_7637,CN,app_14,98280.0,0
instance_7638,CN,app_51,98277.0,0
instance_7639,CN,app_39,98415.0,0
instance_7640,CN,app_41,99087.0,0
instance_7641,CN,app_87,99416.0,0
instance_7642,CN,app_0,100168.0,0
instance_7643,CN,app_44,100498.0,0
instance_7644,HN,app_111,100535.0,1
instance_7645,CN,app_87,101728.0,0
instance_7646,HN,app_0,103212.0,1
instance_7647,CN,app_0,104551.0,0
instance_7648,CN,app_22,104678.0,0
instance_7649,CN,app_14,104763.0,0
instance_7650,CN,app_0,104764.0,0
instance_7651,CN,app_27,104764.0,0
instance_7652,CN,app_0,105007.0,0
instance_7653,HN,app_111,107514.0,1
instance_7654,CN,app_87,108418.0,0
instance_7655,CN,app_35,108448.0,0
instance_7656,CN,app_35,109259.0,0
instance_7657,CN,app_35,112075.0,0
instance_7658,CN,app_35,112136.0,0
instance_7659,CN,app_87,112165.0,0
instance_7660,CN,app_37,112814.0,0
instance_7661,CN,app_87,114571.0,0
instance_7662,CN,app_25,115005.0,0
instance_7663,CN,app_87,115051.0,0
instance_7664,CN,app_34,116111.0,0
instance_7665,CN,app_87,116228.0,0
instance_7666,CN,app_87,116257.0,0
instance_7667,CN,app_87,116288.0,0
instance_7668,CN,app_87,116288.0,0
instance_7669,CN,app_87,116317.0,0
instance_7670,CN,app_87,116797.0,0
instance_7671,HN,app_0,116919.0,1
instance_7672,CN,app_0,117888.0,0
instance_7673,CN,app_0,117888.0,0
instance_7674,CN,app_87,118297.0,0
instance_7675,CN,app_87,120040.0,0
instance_7676,CN,app_87,121868.0,0
instance_7677,CN,app_42,122110.0,0
instance_7678,CN,app_37,122979.0,0
instance_7679,HN,app_0,123716.0,1
instance_7680,HN,app_0,123716.0,1
instance_7681,CN,app_87,124061.0,0
instance_7682,CN,app_19,124449.0,0
instance_7683,CN,app_107,124450.0,0
instance_7684,CN,app_35,124872.0,0
instance_7685,CN,app_19,125280.0,0
instance_7686,CN,app_62,125284.0,0
instance_7687,CN,app_19,126402.0,0
instance_7688,HN,app_0,126818.0,1
instance_7689,HN,app_0,127127.0,1
instance_7690,HN,app_0,127127.0,1
instance_7691,CN,app_87,127524.0,0
instance_7692,CN,app_0,128098.0,0
instance_7693,CN,app_0,128098.0,0
instance_7694,CN,app_0,128098.0,0
instance_7695,CN,app_0,128098.0,0
instance_7696,CN,app_0,128098.0,0
instance_7697,CN,app_28,128098.0,0
instance_7698,CN,app_13,128099.0,0
instance_7699,CN,app_88,128099.0,0
instance_7700,CN,app_19,128098.0,0
instance_7701,CN,app_87,128098.0,0
instance_7702,CN,app_2,128099.0,0
instance_7703,CN,app_88,128099.0,0
instance_7704,CN,app_88,128099.0,0
instance_7705,CN,app_88,128610.0,0
instance_7706,CN,app_87,128878.0,0
instance_7707,CN,app_0,130559.0,0
instance_7708,CN,app_47,129057.0,0
instance_7709,CN,app_87,129057.0,0
instance_7710,CN,app_0,130980.0,0
instance_7711,CN,app_87,130798.0,0
instance_7712,CN,app_87,130798.0,0
instance_7713,CN,app_87,130798.0,0
instance_7714,CN,app_50,130800.0,0
instance_7715,CN,app_94,132005.0,0
instance_7716,CN,app_51,132090.0,0
instance_7717,CN,app_96,133590.0,0
instance_7718,HN,app_0,133988.0,1
instance_7719,HN,app_0,133988.0,1
instance_7720,CN,app_0,136815.0,0
instance_7721,CN,app_0,137791.0,0
instance_7722,CN,app_0,136677.0,0
instance_7723,CN,app_91,136154.0,0
instance_7724,CN,app_88,136154.0,0
instance_7725,CN,app_0,137084.0,0
instance_7726,CN,app_0,136546.0,0
instance_7727,CN,app_47,136155.0,0
instance_7728,CN,app_0,136154.0,0
instance_7729,CN,app_0,136546.0,0
instance_7730,CN,app_18,136154.0,0
instance_7731,CN,app_54,136154.0,0
instance_7732,CN,app_56,136154.0,0
instance_7733,CN,app_26,136154.0,0
instance_7734,CN,app_68,136155.0,0
instance_7735,CN,app_87,136154.0,0
